Input,Llama2ExLlama,Llama2ExLlama score,Llama2ExLlama yn score
"Cetoddle, Scrafty","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| Xatu | Normal | 60 | 120 | 95 | 70 | 85 | 40 | - | A tall and majestic bird-like Pokémon with a strong sense of justice. It can use its wings to fly at incredible speeds and has the ability to control the weather. |
| Drizzile | Water | 55 | 90 | 130 | 80 | 95 | 50 | - | A small, snake-like Pokémon that lives in water. Its body is covered in scales that help it move through the water with ease. |",0.6547841429710388,0.1447841227054596
"Gossifleur, Moltres, Roselia, Spoink","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Gossifleur | Grass | 60 | 120 | 85 | 95 | 70 | 40 | - | A small, plant-like Pokémon with long, thin branches that it uses to attack its opponents. Its vines are also used for healing and support. |
| Moltres | Fire | 70 | 130 | 90 | 100 | 80 | 50 | - | A large bird Pokémon known for its immense strength and fiery personality. It can generate intense heat from its body, which it uses to scorch its foes. |
| Roselia | Poison | 65 | 110 | 85 | 95 | 70 | 40 | - | A slimy, worm-like Pokémon with the ability to control poison. It can release a cloud of noxious gas that weakens its enemies. |
| Spoink | Normal | 70 | 100 | 80 | 90 | 70 | 40 | - | A small, rodent-like Pokémon with a fluffy tail and sharp teeth. It is known for its quick movements and agility in battle. |",0.6582428216934204,0.149492859840393
"Servine, Vikavolt, Celebi, Polteageist","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Servine | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | A serpent-like Pokémon that can control water. It is known for its high attack power and ability to create massive waves. |
| Vikavolt | Electric | 70 | 130 | 100 | 90 | 80 | 50 | - | An electric-type Pokémon with the ability to generate powerful electrical attacks. Its body is covered in lightning-fast electrodes that allow it to conduct electricity. |
| Celebi | Grass | 60 | 120 | 90 | 85 | 70 | 40 | - | A legendary Pokémon said to have brought balance to the world by controlling time itself. It has the ability to heal itself and others using the power of nature. |
| Polteageist | Ghost | 70 | 130 | 100 | 90 | 80 | 50 | - | A ghost/poison-type Pokémon with a strong connection to the darkness. It can manipulate shadows to move around unseen and strike from the shadows. |",0.7012791633605957,0.14502914249897
Krabby,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Krabby | Water | 60 | 120 | 90 | 65 | 45 | 70 | Squirtle (Evolves into) | A sea creature with powerful claws and teeth. It can create massive waves to wash away its opponents. |",0.7147260904312134,0.339726060628891
Graveler,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Graveler | Ground | 60 | 120 | 85 | 95 | 70 | 40 | Geodude | A rock-like Pokémon that can create powerful earthquakes. Its attacks are weak against fire and flying types but strong against ground and steel types. |",0.649616003036499,0.1396159678697586
"Quagsire, Nidorina, Mudkip, Flapple","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Quagsire | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | A quadrupedal Pokémon with a large body and four powerful legs. It can create massive waves by flapping its ears. |
| Nidorina | Grass | 50 | 90 | 70 | 60 | 50 | 30 | - | An evolved form of Nido. Its vines are covered in sharp spikes that can cause serious damage to its opponents. |
| Mudkip | Water | 40 | 70 | 60 | 50 | 40 | 20 | - | A mud-covered Pokémon that lives in the water. It has a strong sense of smell and can detect its surroundings through scent. |
| Flapple | Bug | 30 | 50 | 40 | 30 | 20 | 10 | - | A small insect-like Pokémon with two large wings. It flaps its wings rapidly to generate lift and fly around quickly. |",0.6910706758499146,0.140320673584938
"Annihilape, Garbodor, Pignite, Dunsparce","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Annihilape | Grass | 60 | 120 | 90 | 75 | 45 | 85 | - | A large, green Pokémon with long arms and legs. It can use its powerful jaws to crush its opponents. |
| Garbodor | Poison | 70 | 130 | 100 | 80 | 50 | 90 | - | A dark brown, sludge-like Pokémon that can control poison. Its body is covered in sticky, gooey substances that slow down its opponents. |
| Pignite | Fire | 60 | 100 | 80 | 70 | 40 | 60 | - | A small, rodent-like Pokémon with a fluffy tail. It has the ability to generate intense heat from its body, which it uses to attack its foes. |
| Dunsparce | Rock | 70 | 90 | 80 | 60 | 50 | 70 | - | A large, lizard-like Pokémon with sharp claws and teeth. It can create massive earthquakes by stomping on the ground. |",0.7197048664093018,0.1464548110961914
Venonat,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Venonat | Bug | 45 | 60 | 30 | 40 | 20 | 70 | - | Venonat is a small, insect-like Pokémon. It has large wings and sharp claws that it uses to attack its opponents. |",0.7166793942451477,0.266679435968399
Gigalith,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Gigalith | Rock | 120 | 95 | 60 | 40 | 30 | 70 | - | A large, rock-like Pokémon with incredible strength. It can crush its opponents with ease and is nearly unbeatable in battle. |",0.6963874101638794,0.3563874661922455
"Dondozo, Silcoon","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Dondozo | Grass | 60 | 120 | 90 | 75 | 45 | 85 | - | A grass-type Pokémon that can grow vines to restrain its opponents. Its vines also have healing properties. |
| Silcoon | Bug | 65 | 130 | 100 | 80 | 55 | 90 | - | An insect-like Pokémon with a hard exoskeleton. It can roll into a ball and protect itself from attacks. |",0.5614684820175171,0.1264684647321701
"Miltank, Luxray","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Miltank | Grass | 60 | 120 | 85 | 95 | 70 | 40 | - | A large, sluggish Pokémon that can create powerful vines to restrain its opponents. Its body is covered in thick, fleshy skin. |
| Luxray | Electric | 70 | 130 | 90 | 100 | 75 | 45 | - | An electric-type Pokémon with the ability to generate intense electrical discharges from its body. It has two long antennae on its head that help it sense its surroundings. |",0.7287373542785645,0.2162373512983322
Stunfisk,"| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Stunfisk | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | A large, slow-moving fish with powerful electric attacks. |",0.6980776190757751,0.2480776607990265
"Clodsire, Ferroseed, Haunter, Drilbur","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Clodsire | Grass | 60 | 120 | 90 | 75 | 45 | 85 | - | A grass-type Pokémon that can create massive waves to wash away its opponents. Its evolutionary line is the powerful water-type Pokémon, Kingdra. |
| Ferroseed | Rock | 65 | 130 | 100 | 80 | 55 | 90 | - | A rock-type Pokémon that can generate intense heat from its body, which it uses to attack its opponents. Its evolutionary line is the steel-type Pokémon, Mawile. |
| Haunter | Ghost | 70 | 140 | 110 | 90 | 60 | 100 | - | A ghost-type Pokémon that can create illusions and confuse its opponents. Its evolutionary line is the psychic-type Pokémon, Gengar. |
| Drilbur | Earth | 75 | 120 | 90 | 80 | 60 | 100 | - | An earth-type Pokémon that can burrow underground and strike its opponents with surprise attacks. Its evolutionary line is the ground-type Pokémon, Excavator. |",0.5325821042060852,0.1410821378231048
"Dusknoir, Torterra","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Dusknoir | Dark | 65 | 120 | 90 | 80 | 70 | 40 | - | A dark and mysterious Pokémon that can absorb the energy of its opponents. |
| Torterra | Grass | 60 | 130 | 95 | 85 | 75 | 45 | - | A powerful grass-type Pokémon that can control the earth's power to create massive plants. |",0.7408246397972107,0.2493246346712112
"Azurill, Flareon, Kadabra, Farfetchd","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Azurill | Water | 60 | 120 | 90 | 85 | 70 | 40 | - | A small, blue rodent-like Pokémon with large ears and a fluffy tail. It can create powerful water waves to attack its opponents. |
| Flareon | Fire | 70 | 130 | 100 | 90 | 80 | 50 | - | A legendary Pokémon from the Johto region known for its fierce battles. Its body is covered in bright orange fur, and it has two long, pointed ears that allow it to sense its surroundings. |
| Kadabra | Psychic | 80 | 140 | 110 | 90 | 80 | 60 | - | A powerful psychic-type Pokémon from the Johto region. It has a slender, humanoid body with a large, round head and piercing eyes. It can use its psychic powers to read minds and predict its opponents' moves. |
| Farfetchd | Electric | 90 | 150 | 120 | 90 | 80 | 70 | - | A rare Pokémon from the Johto region with an odd appearance. It has a large, metallic body with multiple electricity-conducting plates on its back. It can generate intense electrical attacks by discharging energy through these plates. |",0.5923576354980469,0.1431075930595398
"Clauncher, Fidough","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Clauncher | Fire | 60 | 120 | 90 | 65 | 45 | 70 | - | A powerful and intimidating Pokémon with a fiery mane. It can create massive explosions by clapping its paws together. |
| Fidough | Ground | 80 | 130 | 100 | 70 | 50 | 80 | - | A slow but steady Pokémon that digs tunnels in the ground to rest and hide from predators. Its body is covered in hard scales for protection. |",0.5595895648002625,0.1415895670652389
"Bellibolt, Minun","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Bellibolt | Electric | 60 | 120 | 90 | 85 | 70 | 40 | Pikachu | A lightning-fast rodent with the ability to generate powerful electric attacks. |
| Minun | Psychic | 60 | 130 | 100 | 90 | 80 | 50 | Alakazam | A psychic-type Pokémon known for its incredible mental powers and ability to create powerful illusions. |",0.6109612584114075,0.1344612389802932
"Terrakion, Lokix, Quilava","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Terrakion | Ground / Dragon | 90 | 125 | 60 | 85 | 70 | 100 | - | A powerful and majestic Pokémon with the ability to control the earth. It can create massive landslides and earthquakes with its strength alone. |
| Lokix | Fire | 60 | 90 | 45 | 65 | 50 | 70 | - | A small but fierce Pokémon that is known for its intense heat generation capabilities. Its flames are so hot they can melt steel. |
| Quilava | Fire | 60 | 90 | 45 | 65 | 50 | 70 | - | A large and intimidating Pokémon with incredible firepower. Its body is covered in flame-like scales that it uses to generate extreme heat. |",0.7628967761993408,0.1472301185131073
"Grookey, Toedscool, Crocalor","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Grookey | Grass | 60 | 120 | 90 | 75 | 45 | 85 | - | A grass-type Pokémon that can grow vines to trap its opponents. Its vines also have healing properties. |
| Toedscool | Water | 50 | 90 | 130 | 80 | 60 | 50 | - | A water-type Pokémon that can create massive waves and whirlpools to wash away its foes. It is known for its incredible strength. |
| Crocalor | Fire | 70 | 100 | 120 | 90 | 70 | 60 | - | A fire-type Pokémon that can generate intense heat from its body, creating a fiery atmosphere around itself. It has the ability to fly using its large wingspan. |",0.6262598633766174,0.1365932077169418
"Hattrem, Mantyke, Boltund","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| Hattrem | Grass | 60 | 120 | 90 | 45 | 70 | 80 | - | A grass-type Pokémon that can heal itself and its allies. |
| Mantyke | Water | 60 | 130 | 100 | 50 | 60 | 70 | - | A water-type Pokémon that can deal massive damage to opponents. |
| Boltund | Electric | 60 | 120 | 90 | 45 | 70 | 80 | - | An electric-type Pokémon that can generate powerful electric attacks. |",0.6246594190597534,0.1456594169139862
"Marill, Darkrai","| Pokémon | Type | HP | Attack | Defense | Special Attack | Special Defense | Speed | Evolution | Description |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
